0,3,1,6/16/2015 11:00,0.333333333,Y
0,3,22,6/16/2015 11:20,0.782777778,Y
0,3,22,6/16/2015 12:06,0.986111111,Y
0,3,10,6/16/2015 13:06,1.099722222,Y
0,3,19,6/16/2015 14:12,1.926388889,Y
0,3,8,6/16/2015 16:07,1.373333333,Y
0,3,8,6/17/2015 8:30,1,Y
0,3,6,6/17/2015 9:30,0.5,Y
0,3,19,6/17/2015 10:00,1.5,Y
0,3,1,6/17/2015 11:30,0.25,Y
0,3,10,6/17/2015 11:45,1.576944444,Y
0,3,19,6/17/2015 13:19,0.673055556,Y
0,3,10,6/17/2015 14:00,1,Y
0,3,19,6/17/2015 15:00,1.535555556,Y
0,3,10,6/18/2015 8:40,0.447777778,Y
0,3,20,6/18/2015 9:06,0.669166667,Y
0,3,19,6/18/2015 9:47,1.498055556,Y
0,3,13,6/18/2015 11:16,0.909722222,Y
0,3,10,6/18/2015 12:11,1.0775,Y
0,3,20,6/18/2015 13:16,1.3375,Y
0,3,23,6/18/2015 14:36,0.893611111,Y
0,3,10,6/18/2015 15:30,0.705,Y
0,3,23,6/18/2015 16:12,0.597222222,Y
0,3,10,6/19/2015 8:30,1,Y
0,3,23,6/19/2015 9:30,0.5,Y
0,3,19,6/19/2015 10:00,1.164444445,Y
0,3,23,6/19/2015 11:09,0.835555556,Y
0,3,4,6/19/2015 12:00,1,Y
0,3,9,6/19/2015 13:00,0.5,Y
0,3,1,6/19/2015 13:30,0.5,Y
0,3,8,6/19/2015 14:00,1,Y
0,3,22,6/19/2015 15:00,1.619166667,Y
0,3,22,6/22/2015 8:30,1.833333333,Y
0,3,19,6/22/2015 10:20,0.666666667,Y
0,3,22,6/22/2015 11:00,1,Y
0,3,22,6/22/2015 12:00,1,Y
0,3,10,6/22/2015 13:00,0.901388889,Y
0,3,22,6/22/2015 13:54,2.794722222,Y
0,3,1,6/23/2015 8:30,1.709444445,Y
0,3,19,6/23/2015 10:12,0.790555556,Y
0,3,10,6/23/2015 11:00,1,Y
0,3,22,6/23/2015 12:00,1,Y
0,3,1,6/23/2015 13:00,1,Y
0,3,22,6/23/2015 14:00,1.124166667,Y
0,3,23,6/23/2015 15:07,0.773888889,Y
0,3,22,6/23/2015 15:53,0.523611111,Y
0,3,10,6/24/2015 8:30,0.5,Y
0,3,22,6/25/2015 8:30,8,Y
0,3,10,6/26/2015 8:30,1.790833333,Y
0,3,22,6/26/2015 10:17,0.709166667,Y
0,3,13,6/26/2015 11:00,1.25,Y
0,3,10,6/26/2015 12:15,0.75,Y
0,3,1,6/26/2015 13:00,0.442222222,Y
0,3,22,6/26/2015 13:26,0.9775,Y
0,3,13,6/26/2015 14:25,0.555833333,Y
0,3,14,6/26/2015 14:58,0.898888889,Y
0,3,13,6/26/2015 15:52,0.654722222,Y
