0,1,19,2015-06-15 10:00:00,0.5000000001,Y
0,1,10,2015-06-15 10:30:00,0.2499999999,Y
0,1,22,2015-06-15 10:45:00,1.5255555556,Y
0,1,10,2015-06-15 12:16:32,1.3541666666,Y
0,1,22,2015-06-15 13:37:47,0.8702777778,Y
0,1,19,2015-06-15 14:30:00,0.546388889,Y
0,1,22,2015-06-15 15:02:47,0.6038888888,Y
0,1,9,2015-06-15 15:39:01,0.281388889,Y
0,1,22,2015-06-15 15:55:54,0.6575,Y
0,1,10,2015-06-16 08:30:00,0.6677777778,Y
0,1,10,2015-06-16 09:10:04,0.8402777779,Y
0,1,19,2015-06-16 10:00:29,0.9919444444,Y
0,1,1,2015-06-16 11:00:00,0.3333333332,Y
0,1,22,2015-06-16 11:20:00,0.7827777779,Y
0,1,22,2015-06-16 12:06:58,0.9861111109,Y
0,1,10,2015-06-16 13:06:08,1.0997222223,Y
0,1,19,2015-06-16 14:12:07,1.926388889,Y
0,1,8,2015-06-16 16:07:42,1.3733333332,Y
0,1,8,2015-06-17 08:30:00,1.0000000001,Y
0,1,6,2015-06-17 09:30:00,0.4999999999,Y
0,1,19,2015-06-17 10:00:00,1.5,Y
0,1,1,2015-06-17 11:30:00,0.2500000001,Y
0,1,10,2015-06-17 11:45:00,1.5769444444,Y
0,1,19,2015-06-17 13:19:37,0.6730555556,Y
0,1,10,2015-06-17 14:00:00,0.9999999999,Y
0,1,19,2015-06-17 15:00:00,1.5355555555,Y
0,1,10,2015-06-18 08:40:00,0.4477777779,Y
0,1,20,2015-06-18 09:06:52,0.6691666666,Y
0,1,19,2015-06-18 09:47:01,1.4980555556,Y
0,1,13,2015-06-18 11:16:54,0.9097222222,Y
0,1,10,2015-06-18 12:11:29,1.0774999999,Y
0,1,20,2015-06-18 13:16:08,1.3375000001,Y
0,1,23,2015-06-18 14:36:23,0.8936111112,Y
0,1,10,2015-06-18 15:30:00,0.705,Y
0,1,23,2015-06-18 16:12:18,0.5972222221,Y
0,1,10,2015-06-19 08:30:00,1.0000000001,Y
0,1,23,2015-06-19 09:30:00,0.4999999999,Y
0,1,19,2015-06-19 10:00:00,1.1644444446,Y
0,1,23,2015-06-19 11:09:52,0.8355555555,Y
0,1,4,2015-06-19 12:00:00,0.9999999999,Y
0,1,9,2015-06-19 13:00:00,0.5000000001,Y
0,1,1,2015-06-19 13:30:00,0.5000000001,Y
0,1,8,2015-06-19 14:00:00,0.9999999999,Y
0,1,22,2015-06-19 15:00:00,1.6191666666,Y
0,1,22,2015-06-22 08:30:00,1.8333333334,Y
0,1,19,2015-06-22 10:20:00,0.6666666667,Y
0,1,22,2015-06-22 11:00:00,0.9999999999,Y
0,1,22,2015-06-22 12:00:00,0.9999999999,Y
0,1,10,2015-06-22 13:00:00,0.901388889,Y
0,1,22,2015-06-22 13:54:05,2.7947222221,Y
0,1,1,2015-06-23 08:30:00,1.7094444445,Y
0,1,19,2015-06-23 10:12:34,0.7905555556,Y
0,1,10,2015-06-23 11:00:00,0.9999999999,Y
0,1,22,2015-06-23 12:00:00,0.9999999999,Y
0,1,1,2015-06-23 13:00:00,1.0000000001,Y
0,1,22,2015-06-23 14:00:00,1.1241666666,Y
0,1,23,2015-06-23 15:07:27,0.7738888889,Y
0,1,22,2015-06-23 15:53:53,0.5236111111,Y
0,1,10,2015-06-24 08:30:00,0.5000000001,Y
0,1,22,2015-06-25 08:30:00,8.0000000001,Y
0,1,10,2015-06-26 08:30:00,1.7908333334,Y
0,1,22,2015-06-26 10:17:27,0.7091666667,Y
0,1,13,2015-06-26 11:00:00,1.2499999999,Y
0,1,10,2015-06-26 12:15:00,0.75,Y
0,1,1,2015-06-26 13:00:00,0.4422222222,Y
0,1,22,2015-06-26 13:26:32,0.9775000001,Y
0,1,13,2015-06-26 14:25:11,0.5558333333,Y
0,1,14,2015-06-26 14:58:32,0.8988888888,Y
0,1,13,2015-06-26 15:52:28,0.6547222223,Y
